1,20990.3,14341
2,25659.1,22459.8
4,42227.9,37733.7
8,71716.1,65849.6
16,125650,115773
32,223850,209968
64,406625,383797
128,744078,704524
256,1.36892e+06,1.30155e+06
512,2.52878e+06,2.40211e+06
1024,4.69026e+06,4.47828e+06
2048,8.74511e+06,8.38032e+06
4096,1.63839e+07,1.56974e+07
8192,3.05312e+07,2.85537e+07
16384,5.52377e+07,5.26949e+07
32768,1.008e+08,9.52032e+07
65536,1.77709e+08,1.58274e+08
131072,2.93718e+08,2.56731e+08
262144,4.60281e+08,3.84309e+08
524288,6.51843e+08,5.25375e+08
1048576,8.2486e+08,6.40263e+08
2097152,1.00549e+09,7.91782e+08
4194304,1.18281e+09,9.37547e+08
8388608,1.3446e+09,1.03749e+09
16777216,1.43598e+09,1.09014e+09
33554432,1.48773e+09,1.12687e+09
67108864,1.5235e+09,1.14344e+09
134217728,1.53773e+09,1.14995e+09
268435456,1.54995e+09,1.15601e+09
536870912,1.55768e+09,1.16277e+09
1073741824,1.51494e+09,1.13715e+09
2147483648,1.51532e+09,1.1382e+09
