2,4.03846e+08
3,3.25301e+09
4,2.50602e+09
5,3.2e+09
6,5.48663e+09
7,5.54717e+09
8,5.00521e+09
9,5.44756e+09
10,5.72308e+09
11,6.04407e+09
12,6.29044e+09
13,6.57801e+09
14,6.45659e+09
15,6.77504e+09
16,6.31515e+09
17,7.072e+09
18,7.16814e+09
19,7.17874e+09
20,7.0841e+09
21,7.30939e+09
22,6.9903e+09
23,7.34479e+09
24,7.40195e+09
25,7.29236e+09
26,7.28236e+09
27,7.69938e+09
28,7.67712e+09
29,7.73387e+09
30,7.7286e+09
31,7.73363e+09
32,2.8779e+09
33,7.61965e+09
34,7.68181e+09
35,7.733e+09
36,5.98644e+09
37,7.68241e+09
38,7.79429e+09
39,7.78466e+09
40,7.7699e+09
41,7.78028e+09
42,7.83014e+09
43,7.79933e+09
44,7.76018e+09
45,7.73349e+09
46,7.86659e+09
47,7.82298e+09
48,5.6043e+09
49,7.74134e+09
50,7.61775e+09
51,7.52803e+09
52,7.68376e+09
53,7.7323e+09
54,7.8258e+09
55,7.83932e+09
56,7.75427e+09
57,7.76297e+09
58,6.61151e+09
59,7.75735e+09
60,7.87829e+09
61,7.76924e+09
62,7.63241e+09
63,6.71151e+09
64,3.53221e+09
65,7.61278e+09
66,7.75891e+09
67,7.77238e+09
68,6.77825e+09
69,6.48659e+09
70,7.87817e+09
71,7.82036e+09
72,7.67139e+09
73,6.5936e+09
74,6.65576e+09
75,7.62114e+09
76,7.71631e+09
77,7.77013e+09
78,6.59246e+09
79,6.53063e+09
80,5.44376e+09
81,7.7981e+09
82,7.64087e+09
83,6.69449e+09
84,6.65108e+09
85,6.77371e+09
86,7.59057e+09
87,7.53664e+09
88,6.73545e+09
89,6.65695e+09
90,6.64902e+09
91,7.61975e+09
92,7.70945e+09
93,6.62477e+09
94,6.7938e+09
95,6.65769e+09
96,3.43194e+09
97,7.60767e+09
98,7.65036e+09
99,6.9421e+09
100,6.91601e+09
101,6.86972e+09
102,6.83438e+09
103,6.78704e+09
104,6.65909e+09
105,6.64074e+09
106,6.81296e+09
107,6.66768e+09
108,6.79473e+09
109,6.7672e+09
110,6.87063e+09
111,6.83495e+09
112,5.20118e+09
113,6.70108e+09
114,6.76038e+09
115,6.84126e+09
116,6.8371e+09
117,6.72548e+09
118,6.83538e+09
119,6.8167e+09
120,6.62439e+09
121,6.8526e+09
122,6.73392e+09
123,6.72209e+09
124,6.83627e+09
125,6.71599e+09
126,6.86589e+09
127,6.82732e+09
128,2.50686e+09
129,6.79366e+09
130,6.69729e+09
131,6.79238e+09
132,6.8664e+09
133,6.88707e+09
134,6.86616e+09
135,6.86325e+09
136,6.49639e+09
137,7.0538e+09
138,6.88621e+09
139,7.04805e+09
140,6.93922e+09
141,6.98846e+09
142,6.98016e+09
143,7.06673e+09
144,5.04106e+09
145,7.1023e+09
146,6.92324e+09
147,7.04285e+09
148,6.92627e+09
149,7.062e+09
150,7.15333e+09
151,7.09321e+09
152,6.59519e+09
153,7.14331e+09
154,7.12834e+09
155,7.01799e+09
156,6.9935e+09
157,7.10313e+09
158,6.97546e+09
159,7.00918e+09
160,3.31284e+09
161,7.40139e+09
162,6.72032e+09
163,7.02427e+09
164,6.72438e+09
165,7.0717e+09
166,6.98095e+09
167,7.09823e+09
168,6.52923e+09
169,7.06282e+09
170,6.98365e+09
171,7.02668e+09
172,6.72703e+09
173,7.38262e+09
174,7.13107e+09
175,7.17739e+09
176,5.04423e+09
177,7.07667e+09
178,6.90177e+09
179,6.99455e+09
180,6.93641e+09
181,6.97556e+09
182,6.89686e+09
183,6.85746e+09
184,6.26015e+09
185,6.6788e+09
186,6.85593e+09
187,7.13835e+09
188,6.96575e+09
189,6.92534e+09
190,6.89946e+09
191,6.93397e+09
192,2.82965e+09
193,6.93082e+09
194,7.17834e+09
195,5.8363e+09
196,6.73535e+09
197,6.5746e+09
198,7.18272e+09
199,7.1922e+09
200,6.40026e+09
201,7.0904e+09
202,7.0179e+09
203,7.09228e+09
204,6.95939e+09
205,4.83917e+09
206,7.13037e+09
207,7.13033e+09
208,4.98896e+09
209,6.90235e+09
210,7.1808e+09
211,7.0325e+09
212,6.72037e+09
213,7.1736e+09
214,7.16686e+09
215,7.16045e+09
216,6.68259e+09
217,7.29235e+09
218,7.0681e+09
219,7.20259e+09
220,6.98107e+09
221,7.29083e+09
222,7.129e+09
223,7.13839e+09
224,3.27444e+09
225,7.41884e+09
226,7.15314e+09
227,7.03489e+09
228,6.92197e+09
229,7.24288e+09
230,7.15372e+09
231,7.17281e+09
232,6.4934e+09
233,7.21913e+09
234,7.16259e+09
235,7.20483e+09
236,6.85969e+09
237,7.18063e+09
238,7.23248e+09
239,6.94674e+09
240,4.95896e+09
241,5.10057e+09
242,7.08156e+09
243,6.96784e+09
244,6.89644e+09
245,7.29078e+09
246,7.16852e+09
247,7.32503e+09
248,6.63173e+09
249,7.28246e+09
250,7.28491e+09
251,7.39657e+09
252,7.02004e+09
253,7.37041e+09
254,7.27169e+09
255,7.34581e+09
256,7.77392e+08
257,7.24735e+09
258,7.03862e+09
259,7.34674e+09
260,7.00346e+09
261,7.32065e+09
262,7.1907e+09
263,7.38886e+09
264,6.66224e+09
265,7.24633e+09
266,7.19302e+09
267,7.21117e+09
268,6.98751e+09
269,7.39614e+09
270,7.29689e+09
271,7.26543e+09
272,4.97583e+09
273,5.37221e+09
274,7.2658e+09
275,7.3437e+09
276,7.00943e+09
277,7.27955e+09
278,7.16716e+09
279,7.17366e+09
280,6.47679e+09
281,7.23366e+09
282,7.16102e+09
283,7.41097e+09
284,7.03539e+09
285,7.35465e+09
286,7.28025e+09
287,7.3738e+09
288,2.95406e+09
289,7.18039e+09
290,7.19227e+09
291,7.36721e+09
292,6.95135e+09
293,7.18418e+09
294,7.18543e+09
295,7.13413e+09
296,6.56987e+09
297,7.42332e+09
298,7.1982e+09
299,7.26879e+09
300,6.93107e+09
301,7.39437e+09
302,7.23551e+09
303,7.37528e+09
304,4.98466e+09
305,5.78084e+09
306,7.15964e+09
307,7.24602e+09
308,6.93314e+09
309,7.4024e+09
310,7.34033e+09
311,7.51955e+09
312,6.67073e+09
313,7.44743e+09
314,7.42811e+09
315,5.15841e+09
316,6.92145e+09
317,7.34234e+09
318,7.20555e+09
319,7.28973e+09
320,1.92816e+09
321,7.05975e+09
322,7.24138e+09
323,7.41107e+09
324,7.0171e+09
325,7.40159e+09
326,7.37791e+09
327,7.32991e+09
328,6.68796e+09
329,7.34476e+09
330,7.38097e+09
331,7.44454e+09
332,7.08516e+09
333,7.41728e+09
334,7.37036e+09
335,7.28953e+09
336,4.97521e+09
337,7.03399e+09
338,7.1353e+09
339,7.37157e+09
340,7.01485e+09
341,4.19102e+09
342,7.14116e+09
343,7.38654e+09
344,6.62841e+09
345,7.17088e+09
346,7.12949e+09
347,7.31997e+09
348,7.04201e+09
349,7.41051e+09
350,7.32302e+09
351,7.29221e+09
352,2.75609e+09
353,7.3017e+09
354,7.1906e+09
355,6.15653e+09
356,7.07859e+09
357,7.44783e+09
358,7.27959e+09
359,7.58387e+09
360,6.71401e+09
361,7.46352e+09
362,7.31719e+09
363,7.33721e+09
364,7.04318e+09
365,7.49781e+09
366,7.29411e+09
367,7.33689e+09
368,4.976e+09
369,7.36396e+09
370,7.21623e+09
371,7.41982e+09
372,7.11996e+09
373,7.37207e+09
374,7.37508e+09
375,5.73551e+09
376,6.69926e+09
377,7.32154e+09
378,7.24263e+09
379,7.3249e+09
380,7.097e+09
381,5.18102e+09
382,7.27469e+09
383,7.38769e+09
384,9.7945e+08
385,7.37256e+09
386,7.28339e+09
387,7.37991e+09
388,7.04234e+09
389,7.40021e+09
390,7.11031e+09
391,7.14216e+09
392,6.59949e+09
393,7.39876e+09
394,7.22826e+09
395,7.36567e+09
396,7.07328e+09
397,6.86238e+09
398,7.17861e+09
399,7.4068e+09
400,4.92147e+09
401,7.47179e+09
402,7.28668e+09
403,7.30996e+09
404,7.06285e+09
405,7.33216e+09
406,7.1917e+09
407,7.53168e+09
408,6.63938e+09
409,7.26816e+09
410,7.07177e+09
411,7.40063e+09
412,7.02891e+09
413,7.40967e+09
414,6.25676e+09
415,6.89998e+09
416,2.6939e+09
417,7.39662e+09
418,6.48486e+09
419,7.19887e+09
420,7.10901e+09
421,7.29033e+09
422,7.28846e+09
423,7.29822e+09
424,6.62613e+09
425,6.99079e+09
426,7.23281e+09
427,7.41766e+09
428,7.00244e+09
429,7.09296e+09
430,7.22294e+09
431,7.35096e+09
432,4.2842e+09
433,7.09538e+09
434,7.04745e+09
435,7.46989e+09
436,7.18007e+09
437,7.37897e+09
438,7.16754e+09
439,6.52306e+09
440,6.46543e+09
441,7.37568e+09
442,7.0216e+09
443,7.19177e+09
444,6.77016e+09
445,7.36133e+09
446,6.9158e+09
447,7.37171e+09
448,1.88426e+09
449,7.36974e+09
450,7.36255e+09
451,7.47439e+09
452,7.08408e+09
453,7.50042e+09
454,7.42689e+09
455,4.55537e+09
456,6.51503e+09
457,7.41851e+09
458,7.34398e+09
459,7.02266e+09
460,7.03108e+09
461,7.45996e+09
462,7.37304e+09
463,7.48003e+09
464,4.9327e+09
465,7.29217e+09
466,7.31182e+09
467,7.40982e+09
468,7.03053e+09
469,7.41725e+09
470,7.18817e+09
471,7.40032e+09
472,6.6634e+09
473,7.41273e+09
474,7.2309e+09
475,7.4714e+09
476,7.14062e+09
477,7.47711e+09
478,7.289e+09
479,7.45119e+09
480,2.71025e+09
481,7.32209e+09
482,6.6861e+09
483,7.58843e+09
484,7.22316e+09
485,7.46006e+09
486,6.57982e+09
487,7.22242e+09
488,6.7019e+09
489,7.60014e+09
490,7.39078e+09
491,7.52445e+09
492,7.23514e+09
493,7.40875e+09
494,7.26275e+09
495,7.44745e+09
496,4.90433e+09
497,6.99409e+09
498,7.11616e+09
499,7.07466e+09
500,6.967e+09
501,7.40392e+09
502,7.28199e+09
503,4.66713e+09
504,6.64455e+09
505,4.17851e+09
506,6.42632e+09
507,7.09085e+09
508,6.81025e+09
509,7.27754e+09
510,7.17778e+09
511,7.39028e+09
512,5.8363e+08
